subid,session,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
p09,1,2,1,catch,NA,right,1,catch,0.854,1.131,0.0,0.2,0.25,0.0,0.25,0.0,0.25,0.25,0.5,1.3,right,12,1.818145756260492e-05
p09,1,2,2,go,right,right,1,weak,0.196,2.375,1.8,0.2,2.05,0.2,2.25,0.03333333333333333,2.283333333333333,0.016666666666666666,2.3,1.3,right,12,0.213406364156981
p09,1,2,3,nogo,left,NA,1,weak,NA,NA,3.6,0.2,3.85,0.2,4.05,0.03333333333333333,4.083333333333333,0.016666666666666666,4.1,1.3,right,12,0.213261205717572
p09,1,2,4,go,right,right,1,strong,0.427,6.215,5.4,0.2,5.65,0.016666666666666666,5.666666666666667,0.03333333333333333,5.7,0.2,5.9,1.3,right,12,0.01781753848263179
p09,1,2,5,nogo,left,right,0,strong,0.552,8.047,7.2,0.2,7.45,0.016666666666666666,7.466666666666667,0.03333333333333333,7.5,0.2,7.7,1.3,right,12,0.0179782391351182
p09,1,2,6,nogo,left,right,0,strong,0.605,9.807,9.0,0.2,9.25,0.016666666666666666,9.266666666666667,0.03333333333333333,9.3,0.2,9.5,1.3,right,12,0.017667688051005825
p09,1,2,7,nogo,left,NA,1,weak,NA,NA,10.8,0.2,11.05,0.2,11.25,0.03333333333333333,11.283333333333333,0.016666666666666666,11.3,1.3,right,12,0.21336267000151565
p09,1,2,8,catch,NA,right,1,catch,0.498,13.256,12.6,0.2,12.85,0.0,12.85,0.0,12.85,0.25,13.1,1.3,right,12,1.7888211004901677e-05
p09,1,2,9,nogo,left,right,0,strong,0.445,14.909,14.4,0.2,14.65,0.016666666666666666,14.666666666666666,0.03333333333333333,14.7,0.2,14.9,1.3,right,12,0.01773777465496096
p09,1,2,10,go,right,right,1,weak,0.694,17.06,16.2,0.2,16.45,0.2,16.65,0.03333333333333333,16.683333333333334,0.016666666666666666,16.7,1.3,right,12,0.21341692113492172
p09,1,2,11,go,right,right,1,weak,0.267,18.536,18.0,0.2,18.25,0.2,18.45,0.03333333333333333,18.483333333333334,0.016666666666666666,18.5,1.3,right,12,0.2133257205823611
p09,1,2,12,catch,NA,right,1,catch,0.498,20.42,19.8,0.2,20.05,0.0,20.05,0.0,20.05,0.25,20.3,1.3,right,12,1.6715217498131096e-05
p09,1,2,13,nogo,left,right,0,strong,0.374,22.002,21.6,0.2,21.85,0.016666666666666666,21.866666666666667,0.03333333333333333,21.9,0.2,22.1,1.3,right,12,0.017768859088391764
p09,1,2,14,nogo,left,right,0,strong,0.729,24.065,23.4,0.2,23.65,0.016666666666666666,23.666666666666668,0.03333333333333333,23.7,0.2,23.9,1.3,right,12,0.018091433394147316
p09,1,2,15,Rest,Rest,Rest,Rest,Rest,Rest,Rest,25.2,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p09,1,2,16,go,right,right,1,strong,0.338,27.3,27.0,0.2,27.25,0.016666666666666666,27.266666666666666,0.03333333333333333,27.3,0.2,27.5,1.3,right,12,0.01786211238868418
p09,1,2,17,go,right,right,1,strong,0.499,29.167,28.8,0.2,29.05,0.016666666666666666,29.066666666666666,0.03333333333333333,29.1,0.2,29.3,1.3,right,12,0.01797178764900309
p09,1,2,18,Rest,Rest,Rest,Rest,Rest,Rest,Rest,30.6,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p09,1,2,19,go,right,right,1,strong,0.356,32.652,32.4,0.2,32.65,0.016666666666666666,32.666666666666664,0.03333333333333333,32.7,0.2,32.9,1.3,right,12,0.01789730231030262
p09,1,2,20,go,right,right,1,strong,0.409,34.411,34.2,0.2,34.45,0.016666666666666666,34.46666666666667,0.03333333333333333,34.5,0.2,34.7,1.3,right,12,0.01785566089893109
p09,1,2,21,nogo,left,right,0,strong,0.463,36.171,36.0,0.2,36.25,0.016666666666666666,36.266666666666666,0.03333333333333333,36.3,0.2,36.5,1.3,right,12,0.01789085082418751
p09,1,2,22,go,right,right,1,strong,0.445,37.86,37.8,0.2,38.05,0.016666666666666666,38.06666666666667,0.03333333333333333,38.1,0.2,38.3,1.3,right,12,0.01774539913822082
p09,1,2,23,nogo,left,right,0,strong,0.303,39.425,39.6,0.2,39.85,0.016666666666666666,39.86666666666667,0.03333333333333333,39.9,0.2,40.1,1.3,right,12,0.01771666069907951
p09,1,2,24,go,right,right,1,strong,0.427,41.256,41.4,0.2,41.65,0.016666666666666666,41.666666666666664,0.03333333333333333,41.7,0.2,41.9,1.3,right,12,0.01787941409929772
p09,1,2,25,Rest,Rest,Rest,Rest,Rest,Rest,Rest,43.2,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p09,1,2,26,nogo,left,NA,1,weak,NA,NA,45.0,0.2,45.25,0.2,45.45,0.03333333333333333,45.483333333333334,0.016666666666666666,45.5,1.3,right,12,0.21344390007288894
p09,1,2,27,go,right,right,1,weak,0.214,46.767,46.8,0.2,47.05,0.2,47.25,0.03333333333333333,47.28333333333333,0.016666666666666666,47.3,1.3,right,12,0.21358202052942943
p09,1,2,28,nogo,left,right,0,weak,0.48,48.936,48.6,0.2,48.85,0.2,49.05,0.03333333333333333,49.083333333333336,0.016666666666666666,49.1,1.3,right,12,0.21331985559299937
p09,1,2,29,nogo,left,NA,1,weak,NA,NA,50.4,0.2,50.65,0.2,50.85,0.03333333333333333,50.88333333333333,0.016666666666666666,50.9,1.3,right,12,0.21334302228933666
p09,1,2,30,go,right,right,1,weak,0.338,52.598,52.2,0.2,52.45,0.2,52.65,0.03333333333333333,52.68333333333333,0.016666666666666666,52.7,1.3,right,12,0.2133374505538086
p09,1,2,31,go,right,right,1,weak,0.214,54.376,54.0,0.2,54.25,0.2,54.45,0.03333333333333333,54.483333333333334,0.016666666666666666,54.5,1.3,right,12,0.21338554345129523
p09,1,2,32,go,right,right,1,strong,0.481,56.35,55.8,0.2,56.05,0.016666666666666666,56.06666666666667,0.03333333333333333,56.1,0.2,56.3,1.3,right,12,0.017914310774358455
p09,1,2,33,nogo,left,NA,1,weak,NA,NA,57.6,0.2,57.85,0.2,58.05,0.03333333333333333,58.083333333333336,0.016666666666666666,58.1,1.3,right,12,0.21332425433502067
p09,1,2,34,Rest,Rest,Rest,Rest,Rest,Rest,Rest,59.4,1.8,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,1.8
p09,1,2,35,go,right,right,1,weak,0.32,61.914,61.2,0.2,61.45,0.2,61.65,0.03333333333333333,61.68333333333333,0.016666666666666666,61.7,1.3,right,12,0.21341252239290043
p09,1,2,36,go,right,right,1,weak,0.374,63.869,63.0,0.2,63.25,0.2,63.45,0.03333333333333333,63.483333333333334,0.016666666666666666,63.5,1.3,right,12,0.21334947377908975
