subid,session,run,trial,trial_type,side,response,correct,strength,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,blank_onset,blank_dur,mask_onset,mask_dur,response_onset,response_dur,go_side,Staircase_stimulus,Presentation Duration
trest,1,4,1,catch,NA,NA,0,catch,NA,NA,0.0,0.2,0.25,0.0,0.25,0.0,0.25,0.25,0.5,1.5666666666666667,left,12,2.4800014216452837e-05
trest,1,4,2,nogo,right,left,0,weak,1.535,3.891,2.066666666666667,0.2,2.316666666666667,0.2,2.5166666666666666,0.03333333333333333,2.55,0.016666666666666666,2.566666666666667,1.5333333333333334,left,12,0.20306260001962073
trest,1,4,3,go,left,left,1,weak,1.598,5.974,4.1,0.2,4.35,0.2,4.55,0.03333333333333333,4.583333333333333,0.016666666666666666,4.6,1.6,left,12,0.2002558000094723
trest,1,4,4,nogo,right,left,0,strong,1.633,7.907,6.2,0.2,6.45,0.016666666666666666,6.466666666666667,0.03333333333333333,6.5,0.2,6.7,1.6333333333333333,left,12,0.014117200014879927
trest,1,4,5,go,left,left,1,strong,1.569,9.776,8.333333333333334,0.2,8.583333333333334,0.016666666666666666,8.6,0.03333333333333333,8.633333333333333,0.2,8.833333333333334,1.5666666666666667,left,12,0.017403999983798712
trest,1,4,6,nogo,right,left,0,strong,1.571,11.642,10.4,0.2,10.65,0.016666666666666666,10.666666666666666,0.03333333333333333,10.7,0.2,10.9,1.5666666666666667,left,12,0.016912300023250282
trest,1,4,7,Rest,Rest,Rest,Rest,Rest,Rest,Rest,12.466666666666667,2.0,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,2.0
trest,1,4,8,go,left,left,1,strong,1.6,15.538,14.466666666666667,0.2,14.716666666666667,0.016666666666666666,14.733333333333333,0.03333333333333333,14.766666666666667,0.2,14.966666666666667,1.6,left,12,0.016215399984503165
trest,1,4,9,nogo,right,left,0,weak,1.597,17.618,16.566666666666666,0.2,16.816666666666666,0.2,17.016666666666666,0.03333333333333333,17.05,0.016666666666666666,17.066666666666666,1.6,left,12,0.19951760000549257
trest,1,4,10,Rest,Rest,Rest,Rest,Rest,Rest,Rest,18.666666666666668,2.0,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,2.0
trest,1,4,11,nogo,right,right,1,strong,1.549,21.466,20.666666666666668,0.2,20.916666666666668,0.016666666666666666,20.933333333333334,0.03333333333333333,20.966666666666665,0.2,21.166666666666668,1.5333333333333334,left,12,0.016917400003876537
trest,1,4,12,go,left,NA,0,weak,NA,NA,22.7,0.2,22.95,0.2,23.15,0.03333333333333333,23.183333333333334,0.016666666666666666,23.2,1.6,left,12,0.198894700006349
trest,1,4,13,go,left,NA,0,strong,NA,NA,24.8,0.2,25.05,0.016666666666666666,25.066666666666666,0.03333333333333333,25.1,0.2,25.3,1.6666666666666667,left,12,0.016513199982000515
trest,1,4,14,nogo,right,NA,1,weak,NA,NA,26.966666666666665,0.2,27.216666666666665,0.2,27.416666666666668,0.03333333333333333,27.45,0.016666666666666666,27.466666666666665,1.6,left,12,0.20469589999993332
